Date;Type;Site;TimeStart;TimeEnd;Hours;Species;Group;Count;CountPerHour;Comment
20260627;Cannister;Shrub;16:45;08:45;16;Oc_impiger;Culicidae;9;0.563;
20260627;Cannister;Shrub;16:45;08:45;16;S_vittatum;Simuliidae;90;5.625;
20260627;Yeast;Shrub;16:45;08:45;16;Oc_impiger;Culicidae;10;0.625;
20260627;Yeast;Shrub;16:45;08:45;16;S_vittatum;Simuliidae;7;0.438;
20260708;Yeast;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;17;1.417;
20260708;Yeast;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;4;0.333;
20260708;Yeast;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;63;5.250;
20260708;Cannister;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;10;0.833;
20260708;Cannister;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;10;0.833;
20260708;Cannister;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;800;66.667;
20260707;Yeast;Shrub;11:00;00:30;135;S_vittatum;Simuliidae;110;0.815;
20260707;Yeast;Shrub;11:00;00:30;135;Oc_impiger;Culicidae;30;0.222;
20260707;Yeast;Shrub;11:00;00:30;135;Oc_nigripes;Culicidae;6;0.044;
20260707;Cannister;Shrub;11:00;00:30;135;Oc_nigripes;Culicidae;6;0.044;
20260707;Cannister;Shrub;11:00;00:30;135;Oc_impiger;Culicidae;68;0.504;
20260707;Cannister;Shrub;11:00;00:30;135;S_vittatum;Simuliidae;595;4.407;
20260708;Yeast;Fen;08:30;20:30;12;S_vittatum;Simuliidae;23;1.917;
20260708;Yeast;Fen;08:30;20:30;12;Oc_impiger;Culicidae;4;0.333;
20260708;Yeast;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;6;0.500;
20260707;Cannister;Fen;11:00;00:30;135;Oc_nigripes;Culicidae;18;0.133;
20260707;Cannister;Fen;11:00;00:30;135;Oc_impiger;Culicidae;32;0.237;
20260707;Cannister;Fen;11:00;00:30;135;S_vittatum;Simuliidae;766;5.674;
20260709;Yeast;Fen;08:30;20:30;12;Oc_impiger;Culicidae;3;0.250;
20260709;Yeast;Fen;08:30;20:30;12;S_vittatum;Simuliidae;9;0.750;
20260709;Yeast;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;9;0.750;
20260709;Yeast;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;2;0.167;
20260709;Yeast;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;12;1.000;
20260709;Cannister;Fen;08:30;20:30;12;S_vittatum;Simuliidae;900;75.000;
20260709;Cannister;Fen;08:30;20:30;12;S_rostratum;Simuliidae;4;0.333;
20260709;Cannister;Fen;08:30;20:30;12;Oc_impiger;Culicidae;7;0.583;
20260709;Cannister;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;10;0.833;
20260708;Cannister;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;4;0.333;
20260708;Cannister;Fen;08:30;20:30;12;Oc_impiger;Culicidae;3;0.250;
20260708;Cannister;Fen;08:30;20:30;12;S_vittatum;Simuliidae;2000;166.667;
20260708;Cannister;Fen;08:30;20:30;12;S_rostratum;Simuliidae;1;0.083;
20260714;Cannister;Shrub;08:00;14:30;6.5;S_rostratum;Simuliidae;29;4.462;
20260714;Cannister;Shrub;08:00;14:30;6.5;S_vittatum;Simuliidae;400;61.538;
20260714;Cannister;Shrub;08:00;14:30;6.5;Oc_nigripes;Culicidae;3;0.462;
20260714;Cannister;Shrub;08:00;14:30;6.5;Oc_impiger;Culicidae;6;0.923;
20260714;Cannister;Shrub;08:00;14:30;6.5;S_rostratum;Simuliidae;1;0.154;
20260714;Yeast;Fen;08:00;14:30;6.5;S_vittatum;Simuliidae;3;0.462;
20260714;Yeast;Fen;08:00;14:30;6.5;Oc_impiger;Culicidae;3;0.462;
20260714;Yeast;Shrub;08:00;14:30;6.5;Oc_impiger;Culicidae;3;0.462;
20260714;Yeast;Shrub;08:00;14:30;6.5;S_vittatum;Simuliidae;25;3.846;
20260714;Yeast;Shrub;08:00;14:30;6.5;S_rostratum;Simuliidae;2;0.308;
20260714;Cannister;Fen;08:00;14:30;6.5;S_vittatum;Simuliidae;400;61.538;
20260714;Cannister;Fen;08:00;14:30;6.5;S_rostratum;Simuliidae;10;1.538;
20260714;Cannister;Fen;08:00;14:30;6.5;Oc_nigripes;Culicidae;4;0.615;
20260714;Cannister;Fen;08:00;14:30;6.5;Oc_impiger;Culicidae;3;0.462;
20260712;Yeast;Fen;08:30;20:30;12;Oc_impiger;Culicidae;2;0.167;
20260712;Yeast;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;1;0.083;
20260712;Yeast;Fen;08:30;20:30;12;S_vittatum;Simuliidae;2;0.167;
20260712;Yeast;Fen;08:30;20:30;12;S_rostratum;Simuliidae;1;0.083;
20260712;Cannister;Fen;08:30;20:30;12;S_vittatum;Simuliidae;110;9.167;
20260712;Cannister;Fen;08:30;20:30;12;S_rostratum;Simuliidae;3;0.250;
20260712;Cannister;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;2;0.167;
20260712;Cannister;Fen;08:30;20:30;12;Oc_impiger;Culicidae;1;0.083;
20260712;Cannister;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;10;0.833;
20260712;Cannister;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;17;1.417;
20260712;Cannister;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;500;41.667;
20260712;Cannister;Shrub;08:30;20:30;12;S_rostratum;Simuliidae;24;2.000;
20260712;Yeast;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;12;1.000;
20260712;Yeast;Shrub;08:30;20:30;12;S_rostratum;Simuliidae;2;0.167;
20260712;Yeast;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;7;0.583;
20260712;Yeast;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;5;0.417;
